"","...1","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"164","Pop_per_km21","Pop_per_km2",-0.0001887159303046,-0.00036085323105373,-1.65786295554636e-05,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
"165","Median_age1","Median_age",0.20951209911788,-0.0279420187737193,0.446966217009479,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
"166","prop_travelling_to_work1","prop_travelling_to_work",10.8682880301211,-0.443461322887734,22.1800373831299,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
"167","prop_all_other_white1","prop_all_other_white",5.42458857430229,-0.464132508135785,11.3133096567404,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
"168","prop_asian1","prop_asian",20.339101803345,17.2130876966679,23.465115910022,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
"169","prop_u251","prop_u25",29.5840929675768,8.41569542553913,50.7524905096146,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
"170","no_jobs1","no_jobs",-0.0412836988400964,-0.0626252035689034,-0.0199421941112895,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
"171","residential_percent_change_from_baseline1","residential_percent_change_from_baseline",-0.510857556921981,-0.739609760338621,-0.28210535350534,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
"172","Specialised_services1","Specialised_services",-5.48600706819371e-07,-2.32281157107363e-06,1.22561015743488e-06,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
"173","unringfenced_percapita1","unringfenced_percapita",0.133622686315815,-0.0968178850650162,0.364063257696646,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
"174","ASC_rapid_testing1","ASC_rapid_testing",-26.3257794995177,-140.379664989104,87.7281059900687,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
"175","DWP_winter_grant_percapita1","DWP_winter_grant_percapita",-0.387150528524487,-1.1751630942273,0.400862037178327,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
"176","sales_compensation1","sales_compensation",-0.0529096121487063,-0.179994667670102,0.0741754433726899,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
"177","fire_contingency1","fire_contingency",-18.6926648593021,-54.5068382542254,17.1215085356212,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
